date,cum_return
2019-01-03,-0.05189360380172725
2019-01-04,-0.008596034729560498
2019-01-07,0.0029414879376448155
2019-01-08,0.005675369488848503
2019-01-09,0.017945775773623218
2019-01-10,0.021431025671740933
2019-01-11,0.021342640179683237
2019-01-14,0.01849473987326178
2019-01-15,0.03319066423765871
2019-01-16,0.037460999291585306
2019-01-17,0.04665557303742984
2019-01-18,0.06401330593242216
2019-01-22,0.037289833578724174
2019-01-23,0.04152360269664035
2019-01-24,0.05031950609948854
2019-01-25,0.06682305786389864
2019-01-28,0.029199029252565012
2019-01-29,0.011957940633904318
2019-01-30,0.049357565602196285
2019-01-31,0.05616372235425571
2019-02-01,0.05421675363454348
2019-02-04,0.07745163806201294
2019-02-05,0.08690726709223351
2019-02-06,0.0881130630045388
2019-02-07,0.06937865576672442
2019-02-08,0.07039454603627471
2019-02-11,0.06463570037636535
2019-02-12,0.08271533228383321
2019-02-13,0.08514066858961966
2019-02-14,0.08728102392150561
2019-02-15,0.10074847245549634
2019-02-19,0.1001721927455379
2019-02-20,0.10432802871418945
2019-02-21,0.10378792072349463
2019-02-22,0.11593932319215439
2019-02-25,0.12081062795888697
2019-02-26,0.1192551616493347
2019-02-27,0.11696118509802855
2019-02-28,0.11085496068184297
2019-03-01,0.11931984856600497
2019-03-04,0.11953131703359854
2019-03-05,0.11689719258567832
2019-03-06,0.10739382266637687
2019-03-07,0.09416543548250611
2019-03-08,0.09687176278880583
2019-03-11,0.1319452846653737
2019-03-12,0.1391808229938194
2019-03-13,0.15290327677353188
2019-03-14,0.15361268076775114
2019-03-15,0.16945193582043472
2019-03-18,0.17712884247591365
2019-03-19,0.1838180749867131
2019-03-20,0.17998656731806162
2019-03-21,0.20974342052927852
2019-03-22,0.17805635648541807
2019-03-25,0.16948920869580553
2019-03-26,0.17431202613357577
2019-03-27,0.1721021683205819
2019-03-28,0.17655000020024403
2019-03-29,0.18609839716773036
2019-04-01,0.20252389165164253
2019-04-02,0.20922384246792114
2019-04-03,0.22134939700588996
2019-04-04,0.22211806847173476
2019-04-05,0.2294656227634806
2019-04-08,0.23622257682230097
2019-04-09,0.22803994536410377
2019-04-10,0.2372452734219248
2019-04-11,0.23582571185530554
2019-04-12,0.24526364662560174
2019-04-15,0.23686917690576603
2019-04-16,0.24296518181660165
2019-04-17,0.25528798164197397
2019-04-18,0.2581992029298743
2019-04-22,0.2635540138965473
2019-04-23,0.2772857327163871
2019-04-24,0.2756234516632621
2019-04-25,0.2775886673469383
2019-04-26,0.26817957297863826
2019-04-29,0.27317399849854396
2019-04-30,0.27143434780939635
2019-05-01,0.2767758417223729
2019-05-02,0.2743810940386948
2019-05-03,0.2879286229435616
2019-05-06,0.27412658846112503
2019-05-07,0.24313949515426092
2019-05-08,0.24309213612828606
2019-05-09,0.23368307527234533
2019-05-10,0.2323430643064437
2019-05-13,0.1804642340931344
2019-05-14,0.19679588758147126
2019-05-15,0.20132761381944198
2019-05-16,0.2118404913992291
2019-05-17,0.20050384680571054
2019-05-20,0.17920371803059743
2019-05-21,0.19378595833672496
2019-05-22,0.18307504616012338
2019-05-23,0.16132867276158813
2019-05-24,0.15904138242698207
2019-05-28,0.15125026452410495
2019-05-29,0.14065495967173502
2019-05-30,0.14082914578262962
2019-05-31,0.12096132174571683
2019-06-03,0.10701256185308594
2019-06-04,0.14878357299463874
2019-06-05,0.15898756631549693
2019-06-06,0.17343506494930572
2019-06-07,0.19209885597050147
2019-06-10,0.2061840434687474
2019-06-11,0.21282294537421387
2019-06-12,0.20049792190077498
2019-06-13,0.20690167332908138
2019-06-14,0.19937591064311722
2019-06-17,0.20180279442679838
2019-06-18,0.2314500789160614
2019-06-19,0.2312262121453057
2019-06-20,0.240368967314597
2019-06-21,0.23405339917894374
2019-06-24,0.23548510188680893
2019-06-25,0.21578895991322744
