"date","portfolio_daily_return"
2019-01-03,-0.05189360380172729
2019-01-04,0.04566741585731506
2019-01-07,0.011637559533119202
2019-01-08,0.002725863456726074
2019-01-09,0.012201160192489624
2019-01-10,0.0034238070249557498
2019-01-11,-0.0000865310430527
2019-01-14,-0.002788388729095459
2019-01-15,0.014429062604904175
2019-01-16,0.004133152961730957
2019-01-17,0.00886257290840149
2019-01-18,0.01658399701118469
2019-01-22,-0.025115731358528137
2019-01-23,0.004081568121910095
2019-01-24,0.008445227146148683
2019-01-25,0.015712887048721313
2019-01-28,-0.03526735603809357
2019-01-29,-0.01675194799900055
2019-01-30,0.03695768713951111
2019-01-31,0.0064860224723815914
2019-02-01,-0.0018434345722198487
2019-02-04,0.02203994989395142
2019-02-05,0.008775919675827026
2019-02-06,0.0011093825101852423
2019-02-07,-0.017217335104942322
2019-02-08,0.0009499818086624
2019-02-11,-0.005380114912986756
2019-02-12,0.016981989145278934
2019-02-13,0.002240049839019775
2019-02-14,0.001972422003746033
2019-02-15,0.012386354804039
2019-02-19,-0.0005235344171524
2019-02-20,0.0037774413824081424
2019-02-21,-0.0004890829324722
2019-02-22,0.011008819937705994
2019-02-25,0.004365205764770508
2019-02-26,-0.0013878047466278076
2019-02-27,-0.002049556374549866
2019-02-28,-0.005466818809509277
2019-03-01,0.0076201558113098145
2019-03-04,0.0001889258623123
2019-03-05,-0.00235288143157959
2019-03-06,-0.008508723974227906
2019-03-07,-0.011945512890815736
2019-03-08,0.0024734169244766237
2019-03-11,0.03197595477104187
2019-03-12,0.006392127275466919
2019-03-13,0.01204589605331421
2019-03-14,0.000615319609642
2019-03-15,0.013730132579803465
2019-03-18,0.006564533710479736
2019-03-19,0.0056826680898666385
2019-03-20,-0.003236567974090576
2019-03-21,0.02521795928478241
2019-03-22,-0.026193210482597352
2019-03-25,-0.007272273302078247
2019-03-26,0.004123866558074951
2019-03-27,-0.0018818318843841554
2019-03-28,0.0037947475910186765
2019-03-29,0.008115589618682861
2019-04-01,0.013848340511322022
2019-04-02,0.005571573972702026
2019-04-03,0.010027551651000976
2019-04-04,0.0006293624639511
2019-04-05,0.006012147665023804
2019-04-08,0.0054958462715148934
2019-04-09,-0.006619060039520263
2019-04-10,0.007495951652526855
2019-04-11,-0.0011473566293716431
2019-04-12,0.007636946439743041
2019-04-15,-0.006741118431091308
2019-04-16,0.004928576946258544
2019-04-17,0.009914034605026245
2019-04-18,0.0023191660642623907
2019-04-22,0.004255932569503784
2019-04-23,0.010867536067962646
2019-04-24,-0.0013014167547225953
2019-04-25,0.0015405923128128049
2019-04-26,-0.007364729046821595
2019-04-29,0.003938263654708862
2019-04-30,-0.0013663887977600094
2019-05-01,0.004201155900955201
2019-05-02,-0.0018756210803985594
2019-05-03,0.010630673170089722
2019-05-06,-0.010716459155082703
2019-05-07,-0.024320262670516967
2019-05-08,-0.0000380963087082
2019-05-09,-0.007569077610969544
2019-05-10,-0.0010861873626708987
2019-05-13,-0.04209771752357483
2019-05-14,0.013834941387176515
2019-05-15,0.0037865489721298213
2019-05-16,0.008751049637794495
2019-05-17,-0.0093548983335495
2019-05-20,-0.017742657661437986
2019-05-21,0.012366175651550295
2019-05-22,-0.0089722216129303
2019-05-23,-0.0183812290430069
2019-05-24,-0.00196954607963562
2019-05-28,-0.0067220360040664675
2019-05-29,-0.009203302860260009
2019-05-30,0.0001527070999146
2019-05-31,-0.01741524934768677
2019-06-03,-0.0124435693025589
2019-06-04,0.03773309588432312
2019-06-05,0.00888243317604065
2019-06-06,0.012465620040893554
2019-06-07,0.015905261039733887
2019-06-10,0.011815452575683593
2019-06-11,0.0055040538311004646
2019-06-12,-0.010162261128425599
