date,rolling_vol_30d
2019-01-03,
2019-01-04,
2019-01-07,
2019-01-08,
2019-01-09,
2019-01-10,
2019-01-11,
2019-01-14,
2019-01-15,
2019-01-16,
2019-01-17,
2019-01-18,
2019-01-22,
2019-01-23,
2019-01-24,
2019-01-25,
2019-01-28,
2019-01-29,
2019-01-30,
2019-01-31,
2019-02-01,
2019-02-04,
2019-02-05,
2019-02-06,
2019-02-07,
2019-02-08,
2019-02-11,
2019-02-12,
2019-02-13,
2019-02-14,0.30196258044861934
2019-02-15,0.2541654306555946
2019-02-19,0.22352989244134738
2019-02-20,0.22222242045237642
2019-02-21,0.2224910499025576
2019-02-22,0.22209850758827238
2019-02-25,0.22212486535071707
2019-02-26,0.22232382210171428
2019-02-27,0.2221625552987821
2019-02-28,0.22088501501385038
2019-03-01,0.22133805702890952
2019-03-04,0.22064178834486015
2019-03-05,0.2168113184518797
2019-03-06,0.20391627520776842
2019-03-07,0.20792480375634642
2019-03-08,0.20696646044931727
2019-03-11,0.221508074066646
2019-03-12,0.19133943809419876
2019-03-13,0.18292477199109083
2019-03-14,0.15493413317051083
2019-03-15,0.1576644746374946
2019-03-18,0.15709388556694132
2019-03-19,0.147379806951024
2019-03-20,0.147531742095739
2019-03-21,0.16107825324489833
2019-03-22,0.17282486698340288
2019-03-25,0.1754151954478621
2019-03-26,0.17361645960324684
2019-03-27,0.16928230548870843
2019-03-28,0.169305371015821
2019-03-29,0.16999364317202767
2019-04-01,0.170749304165354
2019-04-02,0.17056764141631042
2019-04-03,0.1717061180357961
2019-04-04,0.1715153888338659
2019-04-05,0.1702099323772665
2019-04-08,0.17030351299107033
2019-04-09,0.17222622911003677
2019-04-10,0.17194221778777774
2019-04-11,0.17044018838738154
2019-04-12,0.1704436234826306
2019-04-15,0.17282130541073445
2019-04-16,0.17200712937811202
2019-04-17,0.16897218310579667
2019-04-18,0.16201180505471827
2019-04-22,0.16187958633381117
2019-04-23,0.14131429989869906
2019-04-24,0.14197487494784902
2019-04-25,0.13993375239737751
2019-04-26,0.14321942331176013
2019-04-29,0.13973300918176954
2019-04-30,0.1398034537476203
2019-05-01,0.13958625426494534
2019-05-02,0.13915016913127312
2019-05-03,0.12416768720133521
2019-05-06,0.09906688494726587
2019-05-07,0.12325192522080548
2019-05-08,0.12323868170208059
2019-05-09,0.12584145740629288
2019-05-10,0.12594360130748325
2019-05-13,0.1770156230081086
2019-05-14,0.17700645391047415
2019-05-15,0.1765847163219661
2019-05-16,0.17598265397706964
2019-05-17,0.17794188437725322
2019-05-20,0.18357902223194397
2019-05-21,0.18684791862954456
2019-05-22,0.1875754256735206
2019-05-23,0.19212028394956038
2019-05-24,0.1921019849156044
2019-05-28,0.19030022080769124
2019-05-29,0.1909050729401646
2019-05-30,0.18976141010398725
2019-05-31,0.1903998620581957
2019-06-03,0.19115370263236703
2019-06-04,0.22553507782469925
2019-06-05,0.2245401700235452
2019-06-06,0.2290188625472893
2019-06-07,0.23502387733587077
2019-06-10,0.23791744587649316
2019-06-11,0.23827491711015547
2019-06-12,0.23958953898986465
2019-06-13,0.2398585743416248
2019-06-14,0.2402088738463915
2019-06-17,0.2375854398984133
2019-06-18,0.24844472141907006
2019-06-19,0.2384175736470846
2019-06-20,0.2394439676209206
2019-06-21,0.23886708104013968
2019-06-24,0.2388572653671786
2019-06-25,0.20874554594766018
2019-06-26,0.21093128347208173
2019-06-27,0.2113363494049852
2019-06-28,0.21026160459148888
2019-07-01,0.21108896905827432
2019-07-02,0.20299987332660382
2019-07-03,0.20101617133403327
2019-07-05,0.19894535798533924
2019-07-08,0.19316907535909456
2019-07-09,0.19270753634677795
2019-07-10,0.19131837750292638
2019-07-11,0.18819120276964546
2019-07-12,0.18802037572247912
2019-07-15,0.17713604142151018
2019-07-16,0.17132221710345966
2019-07-17,0.14148940710908683
2019-07-18,0.14069750667956024
2019-07-19,0.14171042450248594
2019-07-22,0.14013290095406847
2019-07-23,0.14046440311771116
2019-07-24,0.1408044955882008
2019-07-25,0.1414824770434704
2019-07-26,0.1417103244277077
2019-07-29,0.13923689829425664
2019-07-30,0.14007580220158247
2019-07-31,0.12975289223343173
2019-08-01,0.13559015054871107
2019-08-02,0.14055416378524585
2019-08-05,0.1898190864289369
2019-08-06,0.19493830979881208
2019-08-07,0.1891882585064957
2019-08-08,0.19446970154502155
2019-08-09,0.1963346159911619
2019-08-12,0.19929730670109866
2019-08-13,0.21010203924703516
2019-08-14,0.23123521992293908
2019-08-15,0.23047943782635166
2019-08-16,0.24842650983177914
2019-08-19,0.2575815407165768
2019-08-20,0.25905736739227975
2019-08-21,0.2597820261420183
2019-08-22,0.2586929645884355
2019-08-23,0.2804400403100252
2019-08-26,0.2843304786981372
2019-08-27,0.28526881978445684
2019-08-28,0.28546936376415466
2019-08-29,0.2921036477403025
2019-08-30,0.29117572105236184
2019-09-03,0.2909860257703943
2019-09-04,0.29270108313880433
2019-09-05,0.3031779532412571
2019-09-06,0.3014444592209919
2019-09-09,0.3011026015555294
2019-09-10,0.3014177031382345
2019-09-11,0.3027118400446945
2019-09-12,0.3006365907697832
2019-09-13,0.29860950686906573
2019-09-16,0.29589042617539457
2019-09-17,0.26249911738151055
2019-09-18,0.26038662230209314
2019-09-19,0.2607137304737985
2019-09-20,0.2573000699264571
2019-09-23,0.25458786203411954
2019-09-24,0.25357369792811824
2019-09-25,0.24656975156679112
2019-09-26,0.2234538639038443
2019-09-27,0.22645015279024086
