date,ticker,close_price
2019-01-02,AAPL,37.50373077392578
2019-01-03,AAPL,33.768070220947266
2019-01-04,AAPL,35.2096061706543
2019-01-07,AAPL,35.13124465942383
2019-01-08,AAPL,35.80095672607422
2019-01-09,AAPL,36.4089241027832
2019-01-10,AAPL,36.5252799987793
2019-01-11,AAPL,36.16667556762695
2019-01-14,AAPL,35.622840881347656
2019-01-15,AAPL,36.351924896240234
2019-01-16,AAPL,36.796016693115234
2019-01-17,AAPL,37.01450729370117
2019-01-18,AAPL,37.24249267578125
2019-01-22,AAPL,36.40655517578125
2019-01-23,AAPL,36.553775787353516
2019-01-24,AAPL,36.26405334472656
2019-01-25,AAPL,37.46573257446289
2019-01-28,AAPL,37.11899185180664
2019-01-29,AAPL,36.73426818847656
2019-01-30,AAPL,39.24449157714844
2019-01-31,AAPL,39.527103424072266
2019-02-01,AAPL,39.546104431152344
2019-02-04,AAPL,40.669403076171875
2019-02-05,AAPL,41.36524963378906
2019-02-06,AAPL,41.37949752807617
2019-02-07,AAPL,40.595794677734375
2019-02-08,AAPL,40.64348602294922
2019-02-11,AAPL,40.40974807739258
2019-02-12,AAPL,40.757972717285156
2019-02-13,AAPL,40.588626861572266
2019-02-14,AAPL,40.73649978637695
2019-02-15,AAPL,40.64588165283203
2019-02-19,AAPL,40.76750183105469
2019-02-20,AAPL,41.02986526489258
2019-02-21,AAPL,40.798500061035156
2019-02-22,AAPL,41.25407028198242
2019-02-25,AAPL,41.5545654296875
2019-02-26,AAPL,41.578426361083984
2019-02-27,AAPL,41.707210540771484
2019-02-28,AAPL,41.296993255615234
2019-03-01,AAPL,41.73107147216797
2019-03-04,AAPL,41.94095230102539
2019-03-05,AAPL,41.86463165283203
2019-03-06,AAPL,41.623741149902344
2019-03-07,AAPL,41.1419563293457
2019-03-08,AAPL,41.23975372314453
2019-03-11,AAPL,42.66838455200195
2019-03-12,AAPL,43.147789001464844
2019-03-13,AAPL,43.33858108520508
2019-03-14,AAPL,43.82035827636719
2019-03-15,AAPL,44.39039611816406
2019-03-18,AAPL,44.84355545043945
2019-03-19,AAPL,44.488182067871094
2019-03-20,AAPL,44.876930236816406
2019-03-21,AAPL,46.52976989746094
2019-03-22,AAPL,45.56621551513672
2019-03-25,AAPL,45.01526641845703
2019-03-26,AAPL,44.550201416015625
2019-03-27,AAPL,44.95088195800781
2019-03-28,AAPL,45.0105094909668
2019-03-29,AAPL,45.30385971069336
2019-04-01,AAPL,45.61152648925781
2019-04-02,AAPL,46.274574279785156
2019-04-03,AAPL,46.59178924560547
2019-04-04,AAPL,46.67287826538086
2019-04-05,AAPL,46.985313415527344
2019-04-08,AAPL,47.724674224853516
2019-04-09,AAPL,47.58156967163086
2019-04-10,AAPL,47.848697662353516
2019-04-11,AAPL,47.45038986206055
2019-04-12,AAPL,47.43131637573242
2019-04-15,AAPL,47.51716232299805
2019-04-16,AAPL,47.521949768066406
2019-04-17,AAPL,48.44734573364258
2019-04-18,AAPL,48.6214485168457
2019-04-22,AAPL,48.78125
2019-04-23,AAPL,49.484832763671875
2019-04-24,AAPL,49.408512115478516
2019-04-25,AAPL,48.96012496948242
2019-04-26,AAPL,48.72638702392578
2019-04-29,AAPL,48.800331115722656
2019-04-30,AAPL,47.86063003540039
2019-05-01,AAPL,50.20988845825195
2019-05-02,AAPL,49.88313293457031
2019-05-03,AAPL,50.50325393676758
2019-05-06,AAPL,49.72334289550781
2019-05-07,AAPL,48.38294219970703
2019-05-08,AAPL,48.392486572265625
2019-05-09,AAPL,47.87255096435547
2019-05-10,AAPL,47.2093505859375
2019-05-13,AAPL,44.4655647277832
2019-05-14,AAPL,45.169471740722656
2019-05-15,AAPL,45.7105598449707
2019-05-16,AAPL,45.50944519042969
2019-05-17,AAPL,45.250877380371094
2019-05-20,AAPL,43.83588409423828
2019-05-21,AAPL,44.67626190185547
2019-05-22,AAPL,43.761661529541016
2019-05-23,AAPL,43.01466751098633
2019-05-24,AAPL,42.84946060180664
2019-05-28,AAPL,42.67229461669922
2019-05-29,AAPL,42.468780517578125
2019-05-30,AAPL,42.68904113769531
2019-05-31,AAPL,41.915714263916016
2019-06-03,AAPL,41.491943359375
2019-06-04,AAPL,43.009864807128906
2019-06-05,AAPL,43.70420455932617
2019-06-06,AAPL,44.34585189819336
2019-06-07,AAPL,45.52619552612305
2019-06-10,AAPL,46.10801315307617
2019-06-11,AAPL,46.641910552978516
2019-06-12,AAPL,46.493473052978516
2019-06-13,AAPL,46.48390197753906
2019-06-14,AAPL,46.14632034301758
2019-06-17,AAPL,46.42163848876953
2019-06-18,AAPL,47.51342010498047
2019-06-19,AAPL,47.37454605102539
2019-06-20,AAPL,47.75524139404297
2019-06-21,AAPL,47.59243392944336
2019-06-24,AAPL,47.54454040527344
2019-06-25,AAPL,46.823883056640625
2019-06-26,AAPL,47.83664321899414
2019-06-27,AAPL,47.822265625
2019-06-28,AAPL,47.38652420043945
2019-07-01,AAPL,48.255638122558594
2019-07-02,AAPL,48.538143157958984
2019-07-03,AAPL,48.94038009643555
2019-07-05,AAPL,48.89727783203125
2019-07-08,AAPL,47.88930892944336
2019-07-09,AAPL,48.181400299072266
2019-07-10,AAPL,48.65786361694336
2019-07-11,AAPL,48.30350112915039
2019-07-12,AAPL,48.674625396728516
2019-07-15,AAPL,49.131919860839844
2019-07-16,AAPL,48.961917877197266
2019-07-17,AAPL,48.686588287353516
2019-07-18,AAPL,49.23965835571289
2019-07-19,AAPL,48.50462341308594
2019-07-22,AAPL,49.613155364990234
2019-07-23,AAPL,50.001014709472656
2019-07-24,AAPL,49.96031951904297
2019-07-25,AAPL,49.56527328491211
2019-07-26,AAPL,49.73764419555664
2019-07-29,AAPL,50.20212936401367
2019-07-30,AAPL,49.98664855957031
2019-07-31,AAPL,51.006595611572266
2019-08-01,AAPL,49.90285873413086
2019-08-02,AAPL,48.84700393676758
2019-08-05,AAPL,46.28997802734375
2019-08-06,AAPL,47.166259765625
2019-08-07,AAPL,47.6546745300293
2019-08-08,AAPL,48.70574188232422
2019-08-09,AAPL,48.30438232421875
2019-08-12,AAPL,48.18180847167969
2019-08-13,AAPL,50.22223663330078
2019-08-14,AAPL,48.72737121582031
2019-08-15,AAPL,48.48463821411133
2019-08-16,AAPL,49.628623962402344
2019-08-19,AAPL,50.55389404296875
2019-08-20,AAPL,50.556297302246094
2019-08-21,AAPL,51.10425567626953
2019-08-22,AAPL,51.06100082397461
2019-08-23,AAPL,48.700927734375
2019-08-26,AAPL,49.6262092590332
2019-08-27,AAPL,49.06623458862305
2019-08-28,AAPL,49.395484924316406
2019-08-29,AAPL,50.231849670410156
2019-08-30,AAPL,50.16695785522461
2019-09-03,AAPL,49.43635177612305
2019-09-04,AAPL,50.27511215209961
2019-09-05,AAPL,51.2580680847168
2019-09-06,AAPL,51.253265380859375
2019-09-09,AAPL,51.47196578979492
2019-09-10,AAPL,52.08000946044922
2019-09-11,AAPL,53.73588562011719
2019-09-12,AAPL,53.61573028564453
2019-09-13,AAPL,52.57268142700195
2019-09-16,AAPL,52.84907531738281
2019-09-17,AAPL,53.04133605957031
2019-09-18,AAPL,53.5388298034668
2019-09-19,AAPL,53.103816986083984
2019-09-20,AAPL,52.327552795410156
2019-09-23,AAPL,52.56547164916992
2019-09-24,AAPL,52.31552505493164
2019-09-25,AAPL,53.12063980102539
2019-09-26,AAPL,52.846675872802734
2019-09-27,AAPL,52.589515686035156
2019-09-30,AAPL,53.82722854614258
2019-10-01,AAPL,53.97623062133789
2019-10-02,AAPL,52.6231575012207
2019-10-03,AAPL,53.0701789855957
2019-10-04,AAPL,54.55783462524414
2019-10-07,AAPL,54.56983947753906
2019-10-08,AAPL,53.930564880371094
2019-10-09,AAPL,54.562644958496094
2019-10-10,AAPL,55.29804992675781
2019-10-11,AAPL,56.76888656616211
2019-10-14,AAPL,56.68718338012695
