Date,AAPL,MSFT,NVDA,JPM,SPY
2019-01-02,37.50372314453125,94.39714813232422,3.3771657943725586,81.25023651123047,224.99530029296875
2019-01-03,33.768070220947266,90.92448425292969,3.1731278896331787,80.09549713134766,219.62628173828125
2019-01-04,35.209617614746094,95.15328979492188,3.376422166824341,83.04825592041016,226.9828643798828
2019-01-07,35.13124084472656,95.274658203125,3.55517315864563,83.10598754882812,228.7725372314453
2019-01-08,35.80095291137695,95.96543884277344,3.466665029525757,82.94927978515625,230.9219207763672
2019-01-09,36.40892028808594,97.33772277832031,3.5348434448242188,82.80907440185547,232.00112915039062
2019-01-10,36.5252685546875,96.71226501464844,3.6005425453186035,82.80084228515625,232.81951904296875
2019-01-11,36.16668701171875,95.96543884277344,3.689793586730957,82.4048843383789,232.90948486328125
2019-01-14,35.62285232543945,95.26532745361328,3.729708194732666,83.25446319580078,231.48851013183594
2019-01-15,36.35192108154297,98.02853393554688,3.7155771255493164,83.86480712890625,234.14154052734375
2019-01-16,36.79601287841797,98.37393188476562,3.690042018890381,84.54114532470703,234.70816040039062
2019-01-17,37.01449966430664,99.0647201538086,3.7614426612854004,84.88753509521484,236.48880004882812
2019-01-18,37.24250793457031,100.54904174804688,3.890608310699463,86.26493835449219,239.636474609375
2019-01-22,36.40654754638672,98.65398406982422,3.688305616378784,84.90403747558594,236.39881896972656
2019-01-23,36.55378341674805,99.61549377441406,3.701197624206543,84.6895751953125,236.8935546875
2019-01-24,36.2640495300293,99.139404296875,3.9131693840026855,84.73907470703125,237.01943969726562
2019-01-25,37.465721130371094,100.04491424560547,3.970438003540039,85.27519989013672,239.02496337890625
2019-01-28,37.1190071105957,98.09386444091797,3.421543598175049,85.67932891845703,237.20831298828125
2019-01-29,36.734275817871094,96.09614562988281,3.262627363204956,85.91853332519531,236.8935546875
2019-01-30,39.2444953918457,99.30742645263672,3.406172752380371,86.1164779663086,240.64378356933594
2019-01-31,39.52710723876953,97.4870834350586,3.563849449157715,85.36593627929688,242.75721740722656
2019-02-01,39.546104431152344,95.94678497314453,3.5881459712982178,85.67932891845703,242.87405395507812
