Portfolio,Return,Volatility,Sharpe
Current,0.3735980797003562,0.274299763972673,1.3620065664277266
Min Variance,0.19302632932738673,0.20333951462207592,0.9492809584312368
Max Sharpe,0.5374746155115243,0.3580937019978364,1.5009328913435391
