ticker,min_variance_weight,max_sharpe_weight
AAPL,0.01895038335205639,0.30063339167361225
JPM,0.04329109830642734,0.1717319557679429
MSFT,0.047640600575545,0.011811956773063157
NVDA,0.00772375563112242,0.5154707486904687
SPY,0.8823941621348489,0.00035194709491305563
