date,ticker,daily_return
2019-01-02,AAPL,
2019-01-03,AAPL,-0.09960770606994629
2019-01-04,AAPL,0.04268932342529297
2019-01-07,AAPL,-0.0022255778312683105
2019-01-08,AAPL,0.019063115119934082
2019-01-09,AAPL,0.016981840133666992
2019-01-10,AAPL,0.0031957626342773438
2019-01-11,AAPL,-0.009817957878112793
2019-01-14,AAPL,-0.01503688097000122
2019-01-15,AAPL,0.02046680450439453
2019-01-16,AAPL,0.012216448783874512
2019-01-17,AAPL,0.005937933921813965
2019-01-18,AAPL,0.006159305572509766
2019-01-22,AAPL,-0.02244579792022705
2019-01-23,AAPL,0.0040438175201416016
2019-01-24,AAPL,-0.007925927639007568
2019-01-25,AAPL,0.033136963844299316
2019-01-28,AAPL,-0.009254872798919678
2019-01-29,AAPL,-0.0103645920753479
2019-01-30,AAPL,0.06833469867706299
2019-01-31,AAPL,0.0072013139724731445
2019-02-01,AAPL,0.00048065185546875
2019-02-04,AAPL,0.028404831886291504
2019-02-05,AAPL,0.01710987091064453
2019-02-06,AAPL,0.00034439563751220703
2019-02-07,AAPL,-0.01893937587738037
2019-02-08,AAPL,0.0011748075485229492
2019-02-11,AAPL,-0.0057509541511535645
2019-02-12,AAPL,0.008617401123046875
2019-02-13,AAPL,-0.00415492057800293
2019-02-14,AAPL,0.0036431550979614258
2019-02-15,AAPL,-0.0022245049476623535
2019-02-19,AAPL,0.0029921531677246094
2019-02-20,AAPL,0.0064356327056884766
2019-02-21,AAPL,-0.0056389570236206055
2019-02-22,AAPL,0.01116633415222168
2019-02-25,AAPL,0.007284045219421387
2019-02-26,AAPL,0.0005742311477661133
2019-02-27,AAPL,0.0030974149703979492
2019-02-28,AAPL,-0.009835660457611084
2019-03-01,AAPL,0.010511159896850586
2019-03-04,AAPL,0.00502932071685791
2019-03-05,AAPL,-0.0018197298049926758
2019-03-06,AAPL,-0.005754053592681885
2019-03-07,AAPL,-0.011574745178222656
2019-03-08,AAPL,0.002377033233642578
2019-03-11,AAPL,0.03464210033416748
2019-03-12,AAPL,0.011235594749450684
2019-03-13,AAPL,0.004421830177307129
2019-03-14,AAPL,0.011116623878479004
2019-03-15,AAPL,0.013008475303649902
2019-03-18,AAPL,0.010208487510681152
2019-03-19,AAPL,-0.00792473554611206
2019-03-20,AAPL,0.008738279342651367
2019-03-21,AAPL,0.03683054447174072
2019-03-22,AAPL,-0.020708322525024414
2019-03-25,AAPL,-0.01209115982055664
2019-03-26,AAPL,-0.010331273078918457
2019-03-27,AAPL,0.008993864059448242
2019-03-28,AAPL,0.0013265609741210938
2019-03-29,AAPL,0.0065174102783203125
2019-04-01,AAPL,0.006791234016418457
2019-04-02,AAPL,0.014536857604980469
