date,portfolio_return,mu,sigma,VaR_param_95,VaR_param_99,breach_95,breach_99,CVaR_95
2024-05-28,0.013267585635185243,0.002819368064403534,0.011120210340533733,0.015471750246686643,0.02305010962018409,0,0,
2024-05-29,-0.000746360421180725,0.002838439613580704,0.011112361993435392,0.015439769315319192,0.02301278008541996,0,0,
2024-05-30,-0.01473728120326996,0.0026470157504081726,0.011249135333839292,0.015856165303525346,0.02352238631826657,0,0,
2024-05-31,0.0038123011589050295,0.002429725080728531,0.011009750740752645,0.015679703357030114,0.023182785148740958,0,0,
2024-06-03,0.010658600926399232,0.0025148146152496336,0.01104040259536486,0.015645031636740702,0.02316900249103239,0,0,
2024-06-04,0.002643796801567078,0.0024234505593776702,0.01100068544422998,0.01567106679251628,0.023167970636798766,0,0,
2024-06-05,0.01738894283771515,0.0025828554034233093,0.011101445580226672,0.01567739762361692,0.023242968920917095,0,0,
2024-06-06,-0.004097819328308106,0.002526529788970947,0.01112108876611096,0.015766033403615938,0.023344991419090765,0,0,
2024-06-07,0.004655030369758606,0.0025460787415504454,0.011123115016240885,0.015749817335911756,0.023330156229193287,0,0,
2024-06-10,-0.0007151573896408078,0.0025850301086902615,0.011104606081676686,0.015680421480623014,0.023248146641479287,0,0,
2024-06-11,0.01595999002456665,0.002581051141023636,0.011099691384838456,0.01567631649136991,0.023240692314604745,0,0,
2024-06-12,0.018130558729171752,0.0025649727880954743,0.011075725871820033,0.015652975083287963,0.023201018547272197,0,0,
2024-06-13,0.010682415962219239,0.0026480440497398377,0.011105402032380755,0.015618716761975899,0.023186984358657965,0,0,
2024-06-14,0.0022054970264434814,0.0026365563571453094,0.011105258276365075,0.01562996799696664,0.023198137624751036,0,0,
2024-06-17,0.008951961994171143,0.0026470662355422975,0.011110786725799345,0.015628551608673026,0.023200488842942204,0,0,
2024-06-18,0.005081111192703248,0.0026498367786407474,0.011111364545194196,0.01562673149390192,0.023199062508764544,0,0,
2024-06-20,-0.011953312158584596,0.0025852915048599247,0.011177726363872566,0.01580043224582696,0.02341798845834528,0,0,
2024-06-21,-0.00875135362148285,0.0024081174731254576,0.011215916488763338,0.01604042344300174,0.023684006005928748,0,0,
2024-06-24,-0.012273889780044555,0.0023009135723114017,0.011305044527157323,0.016294229921031213,0.023998552729378078,0,0,
2024-06-25,0.016428303718566895,0.002661415457725525,0.011172918668749705,0.015716400338201243,0.023330680134151575,0,0,
2024-06-26,0.005863407254219055,0.0025847409069538114,0.011123774259439929,0.01571223952907538,0.023293027692804495,0,0,
2024-06-27,-0.0008768796920776368,0.0024195769727230073,0.011050355282413993,0.01575663999265801,0.02328739354591676,0,0,
2024-06-28,-0.006309613585472107,0.002277274578809738,0.011070406937897997,0.015931924424820523,0.02347634306593624,0,0,
2024-07-01,0.016651356220245363,0.0024456730484962463,0.011160235817727654,0.015911281313926814,0.023516917819868925,0,0,
2024-07-02,0.00631033182144165,0.0023842148184776307,0.011121406975286737,0.01590887178162616,0.023488046654823645,0,0,
