Model,Confidence,Days (T),Breaches (x),Breach Rate,Expected Alpha,Kupiec p-value
Parametric,95%,151,9,0.059602649006622516,0.050000000000000044,0.5987452122027159
Parametric,99%,151,6,0.039735099337748346,0.010000000000000009,0.00548540973965439
